LAT;LONG;ALT
-36,830807;149,702964;252
-36,830799;149,703346;241
-36,830790;149,703729;241
-36,830781;149,704112;233
-36,830773;149,704495;233
-36,830764;149,704877;243
-36,830755;149,705260;243
-36,830746;149,705643;256
-36,830738;149,706025;256
-36,830729;149,706408;256
-36,830720;149,706791;256
-36,830712;149,707174;251
-36,830703;149,707556;251
-36,830694;149,707939;251
-36,830685;149,708322;251
-36,830677;149,708705;251
-36,830668;149,709087;253
-36,830659;149,709470;253
-36,830651;149,709853;253
-36,830642;149,710235;253
-36,830633;149,710618;266
-36,830624;149,711001;266
-36,830616;149,711384;274
-36,830607;149,711766;274
-36,830598;149,712149;274
-36,830589;149,712532;287
-36,830581;149,712915;287
-36,830572;149,713297;300
-36,830563;149,713680;300
-36,830554;149,714063;298
-36,830546;149,714445;298
-36,830537;149,714828;277
-36,830528;149,715211;277
-36,830519;149,715594;252
-36,830511;149,715976;252
-36,830502;149,716359;224
-36,830493;149,716742;224
-36,830484;149,717125;224
-36,830476;149,717507;200
-36,830467;149,717890;200
-36,830458;149,718273;194
-36,830449;149,718655;194
-36,831393;149,690727;257
-36,831384;149,691110;257
-36,831376;149,691492;240
-36,831367;149,691875;240
-36,831358;149,692258;227
-36,831350;149,692641;227
-36,831341;149,693023;221
-36,831332;149,693406;221
-36,831324;149,693789;221
-36,831315;149,694172;211
-36,831306;149,694554;211
-36,831298;149,694937;205
-36,831289;149,695320;205
-36,831280;149,695703;214
-36,831272;149,696085;214
-36,831263;149,696468;224
-36,831254;149,696851;224
-36,831246;149,697233;238
-36,831237;149,697616;238
-36,831228;149,697999;246
-36,831220;149,698382;246
-36,831211;149,698764;246
-36,831202;149,699147;253
-36,831193;149,699530;253
-36,831185;149,699913;250
-36,831176;149,700295;232
-36,831167;149,700678;235
-36,831159;149,701061;235
-36,831150;149,701444;250
-36,831141;149,701826;250
-36,831133;149,702209;252
-36,831124;149,702592;252
-36,831115;149,702974;252
-36,831106;149,703357;241
-36,831098;149,703740;241
-36,831089;149,704123;233
-36,831080;149,704505;233
-36,831072;149,704888;243
-36,831063;149,705271;243
-36,831054;149,705654;256
-36,831045;149,706036;256
-36,831037;149,706419;256
-36,831028;149,706802;256
-36,831019;149,707185;251
-36,831011;149,707567;251
-36,831002;149,707950;251
-36,830993;149,708333;251
-36,830984;149,708715;251
-36,830967;149,709481;253
-36,830958;149,709864;253
-36,830949;149,710246;253
-36,830941;149,710629;266
-36,830932;149,711012;266
-36,830923;149,711395;274
-36,830915;149,711777;274
-36,830906;149,712160;274
-36,830897;149,712543;287
-36,830888;149,712925;287
-36,830880;149,713308;300
-36,830871;149,713691;300
-36,830862;149,714074;298
-36,830853;149,714456;298
-36,830845;149,714839;277
-36,830836;149,715222;277
-36,830827;149,715605;252
-36,830818;149,715987;252
-36,830810;149,716370;224
-36,830801;149,716753;224
-36,830792;149,717135;200
-36,830783;149,717518;200
-36,830775;149,717901;200
-36,830766;149,718284;194
-36,830757;149,718666;194
-36,831701;149,690738;257
-36,831692;149,691121;257
-36,831683;149,691503;240
-36,831675;149,691886;240
-36,831666;149,692269;227
-36,831657;149,692651;227
-36,831649;149,693034;221
-36,831640;149,693417;221
-36,831631;149,693800;221
-36,831623;149,694182;211
-36,831614;149,694565;211
-36,831605;149,694948;205
-36,831597;149,695331;205
-36,831588;149,695713;214
-36,831579;149,696096;214
-36,831571;149,696479;224
-36,831562;149,696862;224
-36,831553;149,697244;238
-36,831545;149,697627;238
-36,831536;149,698010;246
-36,831527;149,698392;246
-36,831518;149,698775;246
-36,831510;149,699158;253
-36,831501;149,699541;253
-36,831492;149,699923;250
-36,831484;149,700306;250
-36,831475;149,700689;245
-36,831466;149,701072;245
-36,831458;149,701454;251
-36,831449;149,701837;251
-36,831440;149,702220;258
-36,831431;149,702603;258
-36,831423;149,702985;258
-36,831414;149,703368;259
