LONG;LAT
149.6944900546;-36.8294608759
149.6948727803;-36.8294521957
149.6952555059;-36.8294435143
149.6956382313;-36.8294348316
149.6960209566;-36.8294261478
149.6964036817;-36.8294174627
149.6967864066;-36.8294087764
149.6971691314;-36.8294000888
149.697551856;-36.8293914
149.6979345805;-36.82938271
149.6983173048;-36.8293740187
149.6987000289;-36.8293653262
149.6990827528;-36.8293566325
149.6994654766;-36.8293479376
149.6998482002;-36.8293392414
149.7002309237;-36.829330544
149.700613647;-36.8293218454
149.7009963701;-36.8293131455
149.7013790931;-36.8293044444
149.7017618159;-36.8292957421
149.7021445385;-36.8292870386
149.702527261;-36.8292783338
149.7029099833;-36.8292696278
149.7032927055;-36.8292609205
149.7036754275;-36.8292522121
149.7040581493;-36.8292435024
149.7044408709;-36.8292347914
149.7048235924;-36.8292260793
149.7052063137;-36.8292173659
149.7055890349;-36.8292086512
149.7059717559;-36.8291999354
149.7063544767;-36.8291912183
149.7067371974;-36.8291825
149.7071199179;-36.8291737804
149.7075026382;-36.8291650597
149.7078853584;-36.8291563377
149.7082680784;-36.8291476144
149.7086507983;-36.82913889
149.7090335179;-36.8291301643
149.7094162374;-36.8291214373
149.7097989568;-36.8291127092
149.710181676;-36.8291039798
149.710564395;-36.8290952492
149.7109471138;-36.8290865173
149.7113298325;-36.8290777843
149.7117125511;-36.82906905
149.7120952694;-36.8290603144
149.7124779876;-36.8290515777
149.7128607056;-36.8290428397
149.7132434235;-36.8290341004
149.7136261412;-36.82902536
149.7140088587;-36.8290166183
149.7143915761;-36.8290078754
149.7147742933;-36.8289991312
149.7151570103;-36.8289903859
149.7155397272;-36.8289816392
149.7159224439;-36.8289728914
149.7163051605;-36.8289641423
149.7166878768;-36.828955392
149.7170705931;-36.8289466405
149.7174533091;-36.8289378878
149.717836025;-36.8289291338
149.7182187407;-36.8289203786
149.7186014563;-36.8289116221
149.6906735699;-36.8298552764
149.6910562988;-36.8298466084
149.6914390275;-36.8298379392
149.6918217561;-36.8298292687
149.6922044846;-36.8298205971
149.6925872128;-36.8298119242
149.692969941;-36.8298032501
149.6933526689;-36.8297945747
149.6937353967;-36.8297858981
149.6941181243;-36.8297772203
149.6945008517;-36.8297685413
149.694883579;-36.829759861
149.6952663061;-36.8297511795
149.6956490331;-36.8297424968
149.6960317599;-36.8297338128
149.6964144865;-36.8297251276
149.696797213;-36.8297164412
149.6971799393;-36.8297077535
149.6975626654;-36.8296990646
149.6979453914;-36.8296903745
149.6983281172;-36.8296816832
149.6987108429;-36.8296729906
149.6990935684;-36.8296642968
149.6994762937;-36.8296556017
149.6998590188;-36.8296469055
149.7002417438;-36.829638208
149.7006244686;-36.8296295092
149.7010071933;-36.8296208093
149.7013899178;-36.8296121081
149.7017726421;-36.8296034057
149.7021553663;-36.829594702
149.7025380903;-36.8295859971
149.7029208141;-36.829577291
149.7033035378;-36.8295685837
149.7036862613;-36.8295598751
149.7040689847;-36.8295511653
149.7044517079;-36.8295424543
149.7048344309;-36.829533742
149.7052171537;-36.8295250285
149.7055998764;-36.8295163138
149.7059825989;-36.8295075979
149.7063653213;-36.8294988807
149.7067480435;-36.8294901623
149.7071307655;-36.8294814426
149.7075134874;-36.8294727218
149.7078962091;-36.8294639997
149.7082789306;-36.8294552763
149.708661652;-36.8294465518
149.7090443732;-36.829437826
149.7094270943;-36.829429099
149.7098098151;-36.8294203707
149.7101925358;-36.8294116412
149.7105752564;-36.8294029105
149.7109579768;-36.8293941786
149.711340697;-36.8293854454
149.711723417;-36.829376711
149.7121061369;-36.8293679754
149.7124888567;-36.8293592385
149.7128715762;-36.8293505004
149.7132542956;-36.8293417611
149.7136370148;-36.8293330205
149.7140197339;-36.8293242787
